,County,EMS_COUNT
0,Appling,1.0
1,Atkinson,0.0
2,Bacon,1.0
3,Baker,1.0
4,Baldwin,1.0
5,Banks,1.0
6,Barrow,1.0
7,Bartow,1.0
8,Ben Hill,1.0
9,Berrien,1.0
10,Bibb,1.0
11,Bleckley,1.0
12,Brantley,1.0
13,Brooks,1.0
14,Bryan,1.0
15,Bulloch,1.0
16,Burke,1.0
17,Butts,1.0
18,Calhoun,1.0
19,Camden,1.0
20,Candler,1.0
21,Carroll,1.0
22,Catoosa,0.0
23,Charlton,1.0
24,Chatham,1.0
25,Chattahoochee,0.0
26,Chattooga,1.0
27,Cherokee,2.0
28,Clarke,1.0
29,Clay,1.0
30,Clayton,4.0
31,Clinch,1.0
32,Cobb,3.0
33,Coffee,1.0
34,Colquitt,1.0
35,Columbia,0.0
36,Cook,1.0
37,Coweta,1.0
38,Crawford,0.0
39,Crisp,1.0
40,Dade,1.0
41,Dawson,1.0
42,DeKalb,3.0
43,Decatur,1.0
44,Dodge,1.0
45,Dooly,1.0
46,Dougherty,1.0
47,Douglas,1.0
48,Early,2.0
49,Echols,0.0
50,Effingham,1.0
51,Elbert,1.0
52,Emanuel,1.0
53,Evans,1.0
54,Fannin,1.0
55,Fayette,2.0
56,Floyd,1.0
57,Forsyth,1.0
58,Franklin,1.0
59,Fulton,5.0
60,Gilmer,1.0
61,Glascock,0.0
62,Glynn,2.0
63,Gordon,1.0
64,Grady,1.0
65,Greene,1.0
66,Gwinnett,5.0
67,Habersham,1.0
68,Hall,1.0
69,Hancock,1.0
70,Haralson,1.0
71,Harris,1.0
72,Hart,1.0
73,Heard,1.0
74,Henry,2.0
75,Houston,1.0
76,Irwin,1.0
77,Jackson,2.0
78,Jasper,1.0
79,Jeff Davis,1.0
80,Jefferson,1.0
81,Jenkins,1.0
82,Johnson,1.0
83,Jones,0.0
84,Lamar,0.0
85,Lanier,1.0
86,Laurens,1.0
87,Lee,1.0
88,Liberty,1.0
89,Lincoln,1.0
90,Long,0.0
91,Lowndes,1.0
92,Lumpkin,1.0
93,Macon,1.0
94,Madison,3.0
95,Marion,1.0
96,McDuffie,1.0
97,McIntosh,1.0
98,Meriwether,1.0
99,Miller,1.0
100,Mitchell,1.0
101,Monroe,1.0
102,Montgomery,1.0
103,Morgan,0.0
104,Murray,1.0
105,Muscogee,1.0
106,Newton,1.0
107,Oconee,1.0
108,Oglethorpe,1.0
109,Paulding,1.0
110,Peach,2.0
111,Pickens,1.0
112,Pierce,1.0
113,Pike,1.0
114,Polk,1.0
115,Pulaski,1.0
116,Putnam,1.0
117,Quitman,1.0
118,Rabun,1.0
119,Randolph,1.0
120,Richmond,1.0
121,Rockdale,1.0
122,Schley,1.0
123,Screven,1.0
124,Seminole,1.0
125,Spalding,1.0
126,Stephens,1.0
127,Stewart,1.0
128,Sumter,0.0
129,Talbot,1.0
130,Taliaferro,0.0
131,Tattnall,1.0
132,Taylor,1.0
133,Telfair,1.0
134,Terrell,1.0
135,Thomas,1.0
136,Tift,1.0
137,Toombs,1.0
138,Towns,1.0
139,Treutlen,1.0
140,Troup,2.0
141,Turner,1.0
142,Twiggs,0.0
143,Union,1.0
144,Upson,1.0
145,Walker,2.0
146,Walton,1.0
147,Ware,1.0
148,Warren,1.0
149,Washington,1.0
150,Wayne,1.0
151,Webster,1.0
152,Wheeler,0.0
153,White,1.0
154,Whitfield,1.0
155,Wilcox,1.0
156,Wilkes,1.0
157,Wilkinson,0.0
158,Worth,1.0
