COUNTY,COUNT,AVAILABLE 24/7
Appling,1,true
Atkinson,0,false
Bacon,1,false
Baker,1,false
Baldwin,1,true
Banks,1,false
Barrow,2,false
Bartow,2,true
Ben Hill,1,true
Berrien,1,false
Bibb,1,false
Bleckley,1,false
Brantley,1,false
Brooks,1,false
Bryan,1,false
Bulloch,5,false
Burke,1,false
Butts,1,true
Calhoun,1,false
Camden,2,false
Candler,1,false
Carroll,3,true
Catoosa,2,true
Charlton,1,false
Chatham,3,false
Chattahoochee,1,true
Chattooga,1,false
Cherokee,4,false
Clarke,2,true
Clay,2,false
Clayton,0,false
Clinch,1,false
Cobb,5,false
Coffee,1,false
Colquitt,1,false
Columbia,3,true
Cook,1,true
Coweta,1,true
Crawford,1,true
Crisp,1,false
Dade,1,false
Dawson,1,false
Decatur,2,false
DeKalb,6,false
Dodge,1,false
Dooly,1,false
Dougherty,2,false
Douglas,1,false
Early,2,true
Echols,1,false
Effingham,1,false
Elbert,1,false
Emanuel,1,false
Evans,1,false
Fannin,1,true
Fayette,2,false
Floyd,1,false
Forsyth,1,false
Franklin,3,false
Fulton,12,true
Gilmer,1,false
Glascock,1,false
Glynn,1,true
Gordon,1,false
Grady,1,true
Greene,1,false
Gwinnett,4,true
Habersham,1,true
Hall,2,false
Hancock,0,false
Haralson,4,true
Harris,1,false
Hart,0,false
Heard,1,false
Henry,1,false
Houston,1,false
Irwin,1,true
Jackson,1,false
Jasper,1,false
Jeff Davis,1,false
Jefferson,1,true
Jenkins,1,false
Johnson,1,false
Jones,1,true
Lamar,1,false
Lanier,1,false
Laurens,1,false
Lee,1,false
Liberty,1,true
Lincoln,1,false
Long,1,false
Lowndes,1,true
Lumpkin,1,false
Macon,1,true
Madison,1,false
Marion,1,false
McDuffie,1,false
McIntosh,1,false
Meriwether,1,false
Miller,1,false
Mitchell,1,false
Monroe,1,false
Montgomery,1,false
Morgan,1,true
Murray,1,false
Muscogee,1,false
Newton,2,false
Oconee,1,true
Oglethorpe,1,true
Paulding,1,false
Peach,1,false
Pickens,1,false
Pierce,1,false
Pike,1,false
Polk,1,true
Pulaski,1,true
Putnam,1,false
Quitman,0,false
Rabun,1,true
Randolph,1,false
Richmond,1,true
Rockdale,1,false
Schley,1,false
Screven,1,true
Seminole,1,false
Spalding,1,false
Stephens,1,false
Stewart,1,false
Sumter,1,false
Talbot,1,false
Taliaferro,0,false
Tattnall,1,true
Taylor,1,false
Telfair,1,false
Terrell,1,false
Thomas,1,false
Tift,1,false
Toombs,1,false
Towns,1,true
Treutlen,1,false
Troup,3,false
Turner,1,false
Twiggs,1,false
Union,1,true
Upson,1,true
Walker,1,true
Walton,1,false
Ware,2,false
Warren,1,false
Washington,1,false
Wayne,1,false
Webster,1,false
Wheeler,1,true
White,1,true
Whitfield,1,true
Wilcox,1,false
Wilkes,0,false
Wilkinson,1,true
Worth,1,false
