County,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015
Appling,5062,5186,5012,4863,4825,4527,4752

Atkinson,1823,1987,1898,1848,1929,1944,1985

Bacon,2497,2573,2579,2734,2724,2756,2723

Baker,842,887,850,953,989,1014,970

Baldwin,9644,9630,9845,9626,9348,8956,8687

Banks,4479,4904,5165,5372,5238,5146,5066

Barrow,16757,17669,18031,18364,18309,17649,17239

Bartow,23749,24825,24173,23789,23386,23612,23238

Ben Hill,4154,4106,4011,3944,3932,4211,4101

Berrien,4474,5249,5063,5121,5409,5166,5074

Bibb,34327,33459,32857,31708,30803,30459,30268

Bleckley,2986,2943,2980,3007,2821,2821,3054

Brantley,4864,5656,5664,5505,5266,5103,5258

Brooks,4780,4680,4571,4365,4446,4562,4550

Bryan,8037,7763,7891,7914,7880,7824,7819

Bulloch,13607,13469,13517,13222,12852,12990,12967

Burke,5387,5510,5539,5552,5531,5749,5724

Butts,5937,5973,6093,5932,5846,5783,5577

Calhoun,1301,1233,1282,1320,1274,1170,1203

Camden,11770,12004,12486,11979,11594,11382,11388

Candler,2160,2462,2486,2487,2471,2564,2370

Carroll,27049,26806,26912,26750,26328,25574,25147

Catoosa,17906,18246,18002,18035,17391,17695,17962

Charlton,2507,2822,2947,2930,2902,2790,2776

Chatham,57994,58989,59060,59052,58886,58158,57315

Chattahoochee,757,795,800,763,752,730,713

Chattooga,6588,6397,6433,6589,6591,6419,6209

Cherokee,57495,59946,60549,60644,60249,60780,61211

Clarke,18814,19258,18872,18511,18154,17929,17549

Clay,959,800,859,873,823,666,700

Clayton,54009,51088,50721,49139,47723,47133,46802

Clinch,1837,1828,1797,1774,1776,1722,1781

Cobb,177268,178606,177428,175469,173358,172044,172334

Coffee,10274,10191,10245,10085,10054,9828,9553

Colquitt,9716,9691,10235,10316,10533,10262,10196

Columbia,31858,33743,34638,34555,34682,35260,35613

Cook,4640,4667,4689,4543,4633,4390,4190

Coweta,31141,33461,34004,34117,34926,35303,35494

Crawford,3932,3779,3880,3790,3649,3751,3609

Crisp,4824,5171,5232,5287,5279,5208,5108

Dade,4516,4998,4951,5067,4924,4890,4789

Dawson,5946,6438,6327,6346,6269,6233,6191

Decatur,7429,6939,6526,6522,6765,6632,6303

Dekalb,160724,155105,154355,152514,149940,147784,147739

Dodge,4840,5561,5760,5727,5380,5121,5288

Dooly,2504,3248,3274,3431,3423,3373,3216

Dougherty,18166,17481,17445,17399,16864,16474,16202

Douglas,29982,31977,32542,32464,32314,32113,31687

Early,3053,2705,2695,2708,2609,2718,2640

Echols,862,918,816,931,866,918,932

Effingham,12900,13030,13409,13556,13666,13863,14107

Elbert,5689,5496,5562,5409,5220,5280,5278

Emanuel,5491,5545,5331,5304,5266,5391,5443

Evans,2823,2799,2773,2607,2590,2489,2532

Fannin,8592,8498,8268,8026,7775,7461,7418

Fayette,30854,31833,32070,31692,31451,31168,31316

Floyd,23843,23471,23268,22850,22252,21468,21182

Forsyth,46746,48070,48110,48849,49730,50733,52420

Franklin,5800,6249,6302,6196,6301,5907,5867

Fulton,206023,200119,200682,200083,198367,196020,196617

Gilmer,8460,8315,8263,8177,8448,8198,8388

Glascock,749,854,837,822,842,876,829

Glynn,18650,19757,19800,19865,19530,19426,19709

Gordon,12706,13285,13023,13005,12738,12870,12786

Grady,6165,6125,6045,5996,5437,5458,5360

Greene,4589,4559,4549,4926,4802,4817,4820

Gwinnett,187119,187819,185877,183930,182548,182874,181829

Habersham,11335,11144,11508,11345,11303,11033,11128

Hall,39389,41502,42435,41850,41508,41303,41434

Hancock,2072,2194,2310,2146,2130,2190,2203

Haralson,7637,7779,7794,7661,7596,7516,7559

Harris,9368,9784,10014,9777,9910,9880,9689

Hart,7034,7262,7481,7639,7373,7563,7300

Heard,2906,3159,3229,3267,3286,3272,3153

Henry,51256,53165,53324,52228,51922,51500,51234

Houston,34072,34023,34658,34977,35098,34668,35105

Irwin,2594,2630,2477,2364,2371,2416,2450

Jackson,15448,15736,16359,16315,16425,16228,16202

Jasper,3796,3522,3813,3928,3903,3836,3766

Jeff Davis,3331,3953,4045,3975,3930,4061,4094

Jefferson,4507,4454,4386,4173,4072,3849,3923

Jenkins,2338,2369,2096,2319,2334,2351,2303

Johnson,2061,2332,2418,2555,2564,2434,2343

Jones,8198,8271,8470,8396,8214,8197,8348

Lamar,3987,4244,4211,4491,4484,4591,4498

Lanier,1711,2070,2162,2329,2269,2377,2364

Laurens,11486,11949,12046,11656,11588,11256,11227

Lee,8194,7428,7195,7237,7444,7316,7171

Liberty,10012,11498,11659,11795,11773,11209,10887

Lincoln,2685,2711,2763,2761,2671,2603,2582

Long,2250,2875,3007,2973,3009,3375,3211

Lowndes,23066,22665,22507,22024,21394,20833,20190

Lumpkin,6932,7653,7771,7560,7496,7154,7198

Macon,2934,3072,3066,3162,3252,3041,2874

Madison,7325,7246,7098,7088,7137,7236,7364

Marion,1963,2360,2367,2164,2153,2177,2205

McDuffie,5502,5382,5394,5458,5373,5342,5156

McIntosh,3355,4247,4388,4132,4071,3994,4112

Meriwether,6479,6125,5716,5806,5687,5407,5289

Miller,1685,1801,1847,1776,1832,1746,1562

Mitchell,5703,5340,5276,5265,5311,5233,5372

Monroe,7236,7361,7405,7474,7290,7220,7257

Montgomery,2330,2347,2331,2305,2211,2301,2212

Morgan,5006,4887,4860,4890,5022,5061,4985

Murray,10496,10329,10048,10063,9706,9402,9624

Muscogee,40792,40690,39611,39225,37984,36878,36266

Newton,24380,25501,25334,24871,24861,25031,24301

Oconee,9361,9225,9148,8971,9060,9186,9453

Oglethorpe,3791,3765,3947,4027,4003,4234,4168

Paulding,36556,37894,38889,39227,39296,38833,38811

Peach,5946,6218,6354,6273,6342,6293,6512

Pickens,9646,9059,8821,8820,8747,8523,8687

Pierce,5070,5186,5164,5321,5106,5141,5149

Pike,4895,4953,5006,5147,5167,5068,5035

Polk,10547,10310,10320,10312,10368,10176,9881

Pulaski,2606,3026,3056,2907,2743,2622,2396

Putnam,6299,6768,6771,6687,6519,6325,6205

Quitman,800,715,645,701,720,778,757

Rabun,5183,5216,5209,5031,5125,5061,4989

Randolph,1700,1920,2227,2075,2151,1847,1703

Richmond,43307,42292,41732,41128,39395,38235,38074

Rockdale,19645,19673,20431,20613,20219,20441,20405

Schley,940,1123,1258,1182,1178,1263,1212

Screven,4139,3644,3607,3617,3656,3722,3716

Seminole,2528,2469,2446,2536,2555,2658,2470

Spalding,14603,14917,14625,14420,14514,14270,13943

Stephens,6484,6703,6885,6966,6891,6917,6618

Stewart,971,1548,1460,1250,1172,1135,1077

Sumter,7445,7254,7108,6868,6685,6883,6651

Talbot,2011,2135,2134,2075,2036,2084,2142

Taliaferro,515,526,452,481,515,480,521

Tattnall,4784,5280,5391,5699,5620,5535,5451

Taylor,2596,2546,2469,2360,2550,2483,2392

Telfair,2674,3502,3511,3618,3607,3223,3154

Terrell,2400,2094,2126,2092,2125,1919,1942

Thomas,11351,10747,10381,9686,9826,10053,10420

Tift,9464,9373,8983,8770,8364,8366,8202

Toombs,5861,6313,6236,6311,6435,6558,6619

Towns,4199,4118,3882,3813,3613,3537,3411

Treutlen,1659,1627,1541,1591,1711,1741,1830

Troup,14869,15389,15472,15175,14889,14829,14265

Turner,2154,1993,2014,1939,2048,1985,2117

Twiggs,2599,2488,2417,2436,2444,2370,2339

Union,7361,7392,7073,7195,7161,6795,6589

Upson,7206,7334,7137,6827,6928,6639,6470

Walker,18515,19179,19390,19177,19013,18792,18601

Walton,21053,22161,22529,22419,22166,21912,21705

Ware,8857,8690,8702,8930,8794,8616,8936

Warren,1673,1669,1607,1567,1455,1444,1462

Washington,5084,5145,5101,5203,5161,5045,5049

Wayne,6809,7252,7227,7192,7026,7046,6884

Webster,646,842,1026,1052,900,912,893

Wheeler,1358,1256,1215,1395,1395,1233,1269

White,7702,9166,9459,9040,8757,8200,8353

Whitfield,21583,23418,23356,22919,22618,22364,22242

Wilcox,2208,2199,2081,2126,2045,1983,1972

Wilkes,3040,2861,2907,2860,2945,2830,2835

Wilkinson,2873,2870,2772,2674,2619,2649,2572

Worth,5405,5629,5950,5937,5816,6102,5844
